rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,ls_period,ls_power,period_discrepancy_ratio,fap_ls
2029,2030,2715.01,2715,311239796,311239796.01,1,PC,05h03m47.03s,75.945973,,,+14d18m20.2s,14.305611,,,2.626,0.044,-0.044,0.0,1.0,-4.912,0.031,-0.031,0.0,1.0,2459515.126171,0.002609,-0.002609,0,1,4.9640641,2.25e-05,-2.25e-05,0,1,4.908,0.284,-0.284,0,1,4910.0,2.42718,-2.42718,0,1,13.6926,,,0,1,1050.08,,,,,1585.0,,,,,13.0115,0.008,-0.008,0,1,981.407,26.967,-26.967,0,1,6323.0,123.0,-123.0,0,1,3.95,,,0,1,1.95,,,0,1,2021-06-03 21:39:03,2024-08-22 10:08:01,0.8282136694634545,0.0045078217429125565,5.993699793938311,1.719446484293939e-10
2083,2084,2764.01,2764,53122063,53122063.01,1,PC,06h51m00.4s,102.751656,,,-34d44m19.85s,-34.738847,,,-2.07,0.03,-0.03,0.0,1.0,10.334,0.03,-0.03,0.0,1.0,2459224.72084,0.002237,-0.002237,0,1,2.276734,8.3e-06,-8.3e-06,0,1,1.832,0.18,-0.18,0,1,3620.0,3.75088,-3.75088,0,1,10.8605,0.617663,-0.617663,0,1,796.052,,,,,1479.0,,,,,12.6918,0.006,-0.006,0,1,901.072,13.6075,-13.6075,0,1,6494.0,130.1,-130.1,0,1,4.06,0.09,-0.09,0,1,1.78,0.08,-0.08,0,1,2021-06-03 22:07:24,2024-08-22 10:08:01,1.6954078046850887,0.11419037122673943,1.3428828118571088,0.0
2107,2108,2786.01,2786,281987399,281987399.01,1,PC,05h55m38.07s,88.908628,,,+01d10m04.68s,1.167967,,,6.81,0.046,-0.046,0.0,1.0,-2.634,0.043,-0.043,0.0,1.0,2459219.995187,0.003129,-0.003129,0,1,3.7576217,2.21e-05,-2.21e-05,0,1,4.483,0.344,-0.344,0,1,7680.0,5.79018,-5.79018,0,1,16.0563,,,0,1,933.592,,,,,1539.0,,,,,13.3318,0.014,-0.014,0,1,716.889,14.1675,-14.1675,0,1,5605.0,122.0,-122.0,0,1,3.88,,,0,1,1.89,,,0,1,2021-06-03 22:07:27,2024-08-22 10:08:01,1.2528634638274523,0.005355737200935472,2.9992268179970725,3.2163432339126997e-12
2112,2113,2790.01,2790,247518629,247518629.01,1,PC,05h43m52.13s,85.967216,,,+16d21m36.23s,16.360063,,,0.877,0.09,-0.09,0.0,1.0,-1.763,0.071,-0.071,0.0,1.0,2459547.210084,0.000512,-0.000512,0,1,2.3341583,2.8e-06,-2.8e-06,0,1,3.553,0.084,-0.084,0,1,10070.0,0.770823,-0.770823,0,1,20.0937,1.09728,-1.09728,0,1,3201.05,,,,,2095.0,,,,,12.273,0.016,-0.016,0,1,832.581,30.865,-30.865,0,1,6901.0,157.7,-157.7,0,1,4.04,0.09,-0.09,0,1,1.93,0.1,-0.1,0,1,2021-06-03 22:07:28,2024-08-22 10:08:01,2.32404146957344,0.03786478044174257,1.0043531195802702,1.3163093462155769e-241
2119,2120,2797.01,2797,206897186,206897186.01,1,PC,06h28m45.08s,97.187829,,,+07d41m57.16s,7.699212,,,-3.279,0.052,-0.052,0.0,1.0,-2.488,0.045,-0.045,0.0,1.0,2459225.127962,0.002097,-0.002097,0,1,4.2380604,1.86e-05,-1.86e-05,0,1,3.385,0.366,-0.366,0,1,13070.0,12.2788,-12.2788,0,1,13.0206,,,0,1,463.485,,,,,1292.0,,,,,13.194,0.018,-0.018,0,1,642.911,13.758,-13.758,0,1,5798.0,122.0,-122.0,0,1,4.35,,,0,1,1.13,,,0,1,2021-06-03 22:07:29,2024-08-22 10:08:01,0.8468835299396285,0.010882350894028971,5.004301359246079,1.0784812814689146e-29
2127,2128,2804.01,2804,44764338,44764338.01,1,PC,09h45m40.53s,146.418889,,,-38d53m14.5s,-38.887361,,,-105.034,0.036,-0.036,0.0,1.0,28.255,0.051,-0.051,0.0,1.0,2459991.190122,0.001387,-0.001387,0,1,4.8033954,1.45e-05,-1.45e-05,0,1,0.9062451,0.4540067,-0.4540067,0,1,867.1363349,94.918625,-94.918625,0,1,4.4901713,7.6468186,-7.6468186,0,1,760.1635216,,,,,1339.2032846,,,,,8.9118,0.006,-0.006,0,1,129.525,0.459,-0.459,0,1,5913.9,149.1,-149.1,0,1,4.12,0.08,-0.08,0,1,1.50621,0.0848141,-0.0848141,0,1,2021-06-03 22:37:58,2024-01-17 10:08:02,6.164328244840101,0.029911240609375223,0.7792244684602446,0.0
2131,2132,2808.01,2808,192988021,192988021.01,1,PC,10h21m15.84s,155.316019,,,-25d06m33.6s,-25.109334,,,-159.018,0.082,-0.082,0.0,1.0,14.423,0.074,-0.074,0.0,1.0,2460000.058846,0.00349,-0.00349,0,1,9.4453763,3.45e-05,-3.45e-05,0,1,2.659,0.377,-0.377,0,1,863.0,49.96,-49.96,0,1,1.77547,0.142329,-0.142329,0,1,33.3967,,,,,669.0,,,,,9.9139,0.006,-0.006,0,1,64.4886,0.2059,-0.2059,0,1,4853.0,124.4,-124.4,0,1,4.69,0.09,-0.09,0,1,0.66,0.05,-0.05,0,1,2021-06-03 17:39:26,2023-04-12 16:02:02,4.314746523701504,0.004186387592332232,2.1890918152700816,7.313278489165589e-226
2138,2139,2814.01,2814,268187322,268187322.01,1,PC,07h44m59.84s,116.249354,,,-48d45m01.89s,-48.750526,,,-7.244,0.044,-0.044,0.0,1.0,2.397,0.043,-0.043,0.0,1.0,2459964.94392,0.000926,-0.000926,0,1,5.479335,0.0001774,-0.0001774,0,1,4.7009896,0.0675062,-0.0675062,0,1,9196.3437964,124.627014,-124.627014,0,1,15.1849562,0.6759685,-0.6759685,0,1,915.6728921,,,,,1402.9908508,,,,,11.1664,0.006,-0.006,0,1,427.312,4.3235,-4.3235,0,1,6332.7,327.3,-327.3,0,1,4.2,0.69,-0.69,0,1,1.5307699,0.0653969,-0.0653969,0,1,2021-06-04 00:47:23,2024-09-08 10:08:02,5.521392129180647,0.023591078204007517,0.9923828758768328,0.0
2182,2183,2850.01,2850,453105377,453105377.01,1,PC,06h05m38.65s,91.41105,,,-41d17m17.75s,-41.288263,,,-77.69,0.036,-0.036,0.0,1.0,8.167,0.042,-0.042,0.0,1.0,2459222.134753,0.000767,-0.000767,0,1,6.6329154,9.6e-06,-9.6e-06,0,1,0.598,0.201,-0.201,0,1,3190.0,100.408,-100.408,0,1,7.47324,1.13326,-1.13326,0,1,6.26353,,,,,440.0,,,,,10.7599,0.006,-0.006,0,1,106.964,0.2425,-0.2425,0,1,4608.0,86.6,-86.6,0,1,4.35,0.24,-0.24,0,1,0.88,0.07,-0.07,0,1,2021-06-04 00:47:28,2024-08-22 10:08:01,4.693444400037606,0.31869083300373796,1.4132297806589238,0.0
2210,2211,2875.01,2875,385658469,385658469.01,1,PC,07h23m06.89s,110.778713,,,-11d59m25.89s,-11.990525,,,-0.016,0.073,-0.073,0.0,1.0,-0.092,0.066,-0.066,0.0,1.0,2459245.620362,0.004788,-0.004788,0,1,3.4142143,2.9e-05,-2.9e-05,0,1,4.212,0.397,-0.397,0,1,3400.0,5.00577,-5.00577,0,1,15.9231,1.76604,-1.76604,0,1,5796.83,,,,,2430.0,,,,,12.5365,0.012,-0.012,0,1,1833.11,181.87,-181.87,0,1,8573.0,166.5,-166.5,0,1,3.9,0.11,-0.11,0,1,2.72,0.28,-0.28,0,1,2021-06-04 00:47:32,2024-08-22 10:08:01,1.1419386287647668,0.006728583048324438,2.9898404467612676,1.0875458299153918e-17
2227,2228,2890.01,2890,355655412,355655412.01,1,PC,09h10m47.9s,137.699604,,,-50d55m19.2s,-50.922,,,-11.974,0.051,-0.051,0.0,1.0,12.431,0.04,-0.04,0.0,1.0,2459299.679583,0.000879,-0.000879,0,1,3.1958886,4.7e-06,-4.7e-06,0,1,1.548,0.244,-0.244,0,1,10760.0,22.77,-22.77,0,1,16.4567,1.94841,-1.94841,0,1,495.822,,,,,1314.0,,,,,12.6223,0.013,-0.013,0,1,776.868,16.38,-16.38,0,1,6496.3,369.0,-369.0,0,1,,,,0,1,1.39,0.15,-0.15,0,1,2021-06-04 01:29:21,2024-08-22 10:08:01,1.6016884316329774,0.010684980586514256,1.9953247690886298,1.9525187751113972e-165
2263,2264,2923.01,2923,45299834,45299834.01,1,PC,08h41m15.09s,130.312867,,,-59d00m11.92s,-59.003312,,,-18.345,0.029,-0.029,0.0,1.0,18.998,0.026,-0.026,0.0,1.0,2460015.622952,0.001516,-0.001516,0,1,4.3226285,1.02e-05,-1.02e-05,0,1,2.908,0.133,-0.133,0,1,9090.0,2.01235,-2.01235,0,1,12.2227,0.618805,-0.618805,0,1,401.143,,,,,1246.0,,,,,12.8521,0.006,-0.006,0,1,668.938,5.933,-5.933,0,1,6153.0,136.1,-136.1,0,1,4.31,0.09,-0.09,0,1,1.25,0.06,-0.06,0,1,2021-06-04 01:29:27,2024-08-22 10:08:01,4.246572480068223,0.005991701865762002,1.0179099780561276,6.789015127926838e-114
2276,2277,2935.01,2935,24837152,24837152.01,1,PC,09h29m05.1s,142.271234,,,-34d45m53.19s,-34.764775,,,-21.831,0.023,-0.023,0.0,1.0,6.54,0.033,-0.033,0.0,1.0,2459278.943232,0.002545,-0.002545,0,1,5.5698287,2.33e-05,-2.33e-05,0,1,2.234,0.22,-0.22,0,1,11620.0,11.7421,-11.7421,0,1,13.1629,,,0,1,113.909,,,,,910.0,,,,,13.4581,0.006,-0.006,0,1,733.784,10.975,-10.975,0,1,5751.6,84.7,-84.7,0,1,4.28,,,0,1,1.22,,,0,1,2021-06-04 01:29:29,2024-08-22 10:08:01,0.9258105306902263,0.001495353971217363,6.016164771691984,1.3984894201839321e-06
2287,2288,2945.01,2945,286152207,286152207.01,1,PC,08h15m50.07s,123.958625,,,-51d07m51.39s,-51.130941,,,-3.823,0.029,-0.029,0.0,1.0,6.719,0.026,-0.026,0.0,1.0,2459299.330191,0.002289,-0.002289,0,1,3.2006677,1.41e-05,-1.41e-05,0,1,4.195,0.139,-0.139,0,1,5500.0,2.33647,-2.33647,0,1,15.3648,0.707735,-0.707735,0,1,3373.51,,,,,2123.0,,,,,12.9512,0.007,-0.007,0,1,1152.65,21.0,-21.0,0,1,7438.0,144.7,-144.7,0,1,4.03,0.08,-0.08,0,1,2.09,0.08,-0.08,0,1,2021-06-04 01:29:31,2024-08-22 10:08:01,1.0652508842900719,0.004848416309531511,3.0046139808023344,2.9646828655472364e-86
2301,2302,2958.01,2958,463203560,463203560.01,1,FP,10h13m00.08s,153.250338,,,-58d45m48.23s,-58.763396,,,-27.328,0.048,-0.048,0.0,1.0,15.688,0.047,-0.047,0.0,1.0,2460014.553417,0.001976,-0.001976,0,1,1.9905105,5.1e-06,-5.1e-06,0,1,2.62,0.285,-0.285,0,1,2270.0,20.5618,-20.5618,0,1,5.94241,0.591461,-0.591461,0,1,8376.54,,,,,2665.0,,,,,10.6758,0.006,-0.006,0,1,206.3,1.174,-1.174,0,1,6211.0,130.4,-130.4,0,1,4.46,0.08,-0.08,0,1,1.07,0.05,-0.05,0,1,2021-06-04 01:29:34,2024-11-18 16:02:01,0.9952105280400246,0.014685796625643123,2.000089874370729,1.6271692720335125e-175
2303,2304,296.01,296,382463648,382463648.01,1,PC,23h32m25.23s,353.105143,,,-45d54m34.44s,-45.909568,,,44.379,0.024,-0.024,0.0,1.0,-14.217,0.027,-0.027,0.0,1.0,2459062.764146,0.003444,-0.003444,0,1,25.2580075,9.6e-05,-9.6e-05,0,1,3.7100519,0.3837132,-0.3837132,0,1,8447.1702956,465.7662,-465.7662,0,1,8.7026468,1.1970915,-1.1970915,0,1,23.5354459,,,,,561.7594116,,,,,13.1066,0.006,-0.006,0,1,471.798,4.7615,-4.7615,0,1,5290.0,122.0,-122.0,0,1,4.45,,,0,1,0.946086,,,0,1,2018-12-20 19:43:30,2024-09-12 12:02:47,3.2959199458819293,0.0006869759245697155,7.663416561909671,2.3228388126366275e-15
2354,2355,3006.01,3006,386161311,386161311.01,1,PC,09h16m49.04s,139.204348,,,-54d02m49.49s,-54.047081,,,-10.444,0.05,-0.05,0.0,1.0,-2.713,0.044,-0.044,0.0,1.0,2459989.197536,0.003128,-0.003128,0,1,8.61346,1.55e-05,-1.55e-05,0,1,2.349,0.289,-0.289,0,1,12840.0,22.6895,-22.6895,0,1,20.6812,1.24041,-1.24041,0,1,172.513,,,,,1009.0,,,,,11.9644,0.006,-0.006,0,1,561.854,8.81,-8.81,0,1,6595.0,129.7,-129.7,0,1,4.17,0.09,-0.09,0,1,1.6,0.07,-0.07,0,1,2021-06-04 01:29:42,2024-08-22 10:08:01,8.545567610635542,0.055545725825631186,1.0079447489573379,0.0
2439,2440,3083.01,3083,405620289,405620289.01,1,PC,12h44m26.79s,191.111635,,,-14d15m29.44s,-14.258179,,,-9.766,0.054,-0.054,0.0,1.0,-14.849,0.031,-0.031,0.0,1.0,2459576.125706,0.001827,-0.001827,0,1,2.1532179,6.1e-06,-6.1e-06,0,1,2.072,0.188,-0.188,0,1,6780.0,2912.7,-2912.7,0,1,25.853,,,0,1,2822.0,,,,,2030.0,,,,,13.0723,0.009,-0.009,0,1,1007.21,36.404,-36.404,0,1,5997.0,122.0,-122.0,0,1,4.03,,,0,1,1.68,,,0,1,2021-06-04 01:36:32,2024-08-22 10:08:01,2.1493907115053945,0.002244735897609116,1.0017805922739496,1.512575552654001e-08
2457,2458,310.01,310,175477257,175477257.01,1,PC,23h24m25.4s,351.105814,,,-36d58m33.59s,-36.975998,,,-2.02,0.072,-0.072,0.0,1.0,-1.992,0.069,-0.069,0.0,1.0,2459090.953132,0.000702,-0.000702,0,1,4.2695675,5.6e-06,-5.6e-06,0,1,3.7002918,0.1117502,-0.1117502,0,1,8610.3886424,179.87822,-179.87822,0,1,12.2342646,0.764702,-0.764702,0,1,631.8356941,,,,,1278.7062525,,,,,12.4191,0.006,-0.006,0,1,557.751,14.742,-14.742,0,1,5798.0,127.0,-127.0,0,1,4.22,0.08,-0.08,0,1,1.3043,0.068593,-0.068593,0,1,2018-12-20 19:43:30,2024-04-25 10:08:01,1.4305961383787265,0.011901631843645722,2.9844673737471696,2.4248846401110347e-72
2478,2479,3119.01,3119,57793060,57793060.01,1,PC,11h39m02.24s,174.759354,,,-32d11m26.1s,-32.190584,,,-4.443,0.028,-0.028,0.0,1.0,5.544,0.018,-0.018,0.0,1.0,2459289.297783,0.003451,-0.003451,0,1,8.907516,5.25e-05,-5.25e-05,0,1,3.522,0.62,-0.62,0,1,8610.0,16.5712,-16.5712,0,1,14.3733,,,0,1,230.828,,,,,1085.0,,,,,13.0462,0.006,-0.006,0,1,971.254,21.486,-21.486,0,1,6407.0,122.0,-122.0,0,1,4.2,,,0,1,1.49,,,0,1,2021-06-04 01:36:37,2024-08-22 10:08:01,4.398297740548986,0.0026075399994327296,2.0252189654828103,2.1737410279736774e-15
2484,2485,3124.01,3124,454918388,454918388.01,1,PC,11h52m35.31s,178.147139,,,-77d25m02.1s,-77.417249,,,-29.729,0.021,-0.021,0.0,1.0,2.452,0.02,-0.02,0.0,1.0,2459388.230262,0.000792,-0.000792,0,1,2.2545904,3.8e-06,-3.8e-06,0,1,0.977,0.188,-0.188,0,1,5980.0,12.0961,-12.0961,0,1,11.3495,0.752098,-0.752098,0,1,202.365,,,,,1050.0,,,,,12.6177,0.006,-0.006,0,1,486.768,2.9995,-2.9995,0,1,5567.0,127.2,-127.2,0,1,4.23,0.08,-0.08,0,1,1.25,0.06,-0.06,0,1,2021-06-04 13:54:13,2024-08-22 10:08:01,2.325263426046368,0.455216106883301,0.9696064431862962,0.0
2519,2520,3156.01,3156,457110913,457110913.01,1,APC,13h31m41.47s,202.922779,,,-58d59m53.22s,-58.998117,,,-11.215,0.023,-0.023,0.0,1.0,0.168,0.034,-0.034,0.0,1.0,2459359.101067,0.000658,-0.000658,0,1,0.7463239,1e-06,-1e-06,0,1,1.49,0.102,-0.102,0,1,24240.0,756.467,-756.467,0,1,19.7419,,,0,1,3197.59,,,,,2094.0,,,,,13.2294,0.006,-0.006,0,1,445.1,4.5345,-4.5345,0,1,5132.0,122.0,-122.0,0,1,4.34,,,0,1,1.04,,,0,1,2021-06-04 13:54:18,2024-08-22 10:08:01,0.7458562433603788,0.00894243674908775,1.000627006402084,0.0
2522,2523,3159.01,3159,449549170,449549170.01,1,PC,13h21m51.46s,200.464421,,,-62d32m31.64s,-62.542122,,,14.36,0.036,-0.036,0.0,1.0,-7.901,0.039,-0.039,0.0,1.0,2460068.914155,0.008573,-0.008573,0,1,1.4753526,1.51e-05,-1.51e-05,0,1,3.29,0.487,-0.487,0,1,870.0,1.8016,-1.8016,0,1,5.30533,0.379254,-0.379254,0,1,4142.31,,,,,2235.0,,,,,11.2925,0.006,-0.006,0,1,428.115,5.2555,-5.2555,0,1,5732.0,128.6,-128.6,0,1,3.93,0.08,-0.08,0,1,1.81,0.09,-0.09,0,1,2021-06-04 13:54:18,2024-08-22 10:08:01,0.931845748323686,0.007276507997007172,1.5832583908377948,3.517111145619814e-51
2549,2550,3183.01,3183,370385007,370385007.01,1,PC,15h03m57.96s,225.991509,,,-51d10m56.62s,-51.182394,,,-4.613,0.044,-0.044,0.0,1.0,-4.54,0.04,-0.04,0.0,1.0,2459360.251174,0.004009,-0.004009,0,1,4.2174286,2.9e-05,-2.9e-05,0,1,4.045,0.435,-0.435,0,1,7050.0,7.81863,-7.81863,0,1,18.2265,1.08723,-1.08723,0,1,1403.49,,,,,1705.0,,,,,12.7414,0.007,-0.007,0,1,1085.05,26.575,-26.575,0,1,6841.0,138.2,-138.2,0,1,3.93,0.09,-0.09,0,1,2.2,0.1,-0.1,0,1,2021-06-04 13:54:21,2024-08-22 10:08:01,2.122341661137544,0.02560103409532794,1.987158183447014,4.2186047294971136e-104
2586,2587,3217.01,3217,309436531,309436531.01,1,FP,09h15m13.41s,138.805858,,,-79d46m27.78s,-79.774383,,,7.514,0.031,-0.031,0.0,1.0,-2.005,0.034,-0.034,0.0,1.0,2459383.966929,0.000648,-0.000648,0,1,3.2136333,4.2e-06,-4.2e-06,0,1,1.875,0.175,-0.175,0,1,7810.0,3.96589,-3.96589,0,1,11.1273,0.583107,-0.583107,0,1,362.609,,,,,1215.0,,,,,12.3297,0.006,-0.006,0,1,522.663,4.9445,-4.9445,0,1,6189.4,119.1,-119.1,0,1,4.32,0.08,-0.08,0,1,1.25,0.06,-0.06,0,1,2021-06-04 13:54:26,2024-08-22 10:08:01,3.706515600457639,0.013591464445271324,0.8670227368267968,5.522559084727855e-41
2609,2610,3238.01,3238,241752370,241752370.01,1,PC,13h55m33.44s,208.889334,,,-52d31m28.24s,-52.524511,,,13.087,2.891,-2.891,0.0,1.0,12.795,2.891,-2.891,0.0,1.0,2458619.089332,0.002472,-0.002472,0,1,3.224746,0.0006871,-0.0006871,0,1,3.621,0.264,-0.264,0,1,11350.0,8.77638,-8.77638,0,1,,,,0,1,500.144,,,,,1317.0,,,,,13.534,0.007,-0.007,0,1,,,,0,1,5032.0,204.4,-204.4,0,1,,,,0,1,,,,0,1,2021-06-04 13:54:29,2024-08-22 10:08:01,1.5942924305335786,0.026907911114752384,2.022681622417752,5.5599631143156366e-95
2615,2616,3243.01,3243,209707800,209707800.01,1,PC,14h03m32.22s,210.884268,,,-55d26m35.2s,-55.44311,,,-11.3,4.6,-4.6,0.0,1.0,-2.8,4.3,-4.3,0.0,1.0,2459359.347516,0.00077,-0.00077,0,1,2.0519085,2.9e-06,-2.9e-06,0,1,1.778,0.233,-0.233,0,1,10320.0,6.27206,-6.27206,0,1,14.7471,0.751844,-0.751844,0,1,1024.7,,,,,1576.0,,,,,11.7219,0.006,-0.006,0,1,,,,0,1,6386.3,144.6,-144.6,0,1,,,,0,1,1.42,0.06,-0.06,0,1,2021-06-04 13:54:30,2024-08-22 10:08:01,1.020005637932336,0.03288726532720684,2.0116638807599587,7.78023975082558e-123
2748,2749,3363.01,3363,385858569,385858569.01,1,PC,09h15m02.16s,138.759017,,,-54d18m51.34s,-54.314261,,,-6.515,0.123,-0.123,0.0,1.0,5.795,0.132,-0.132,0.0,1.0,2460007.793273,0.006039,-0.006039,0,1,9.7433732,5.43e-05,-5.43e-05,0,1,3.747,1.265,-1.265,0,1,1566.0,1719.91,-1719.91,0,1,,,,0,1,,,,,,,,,,,10.2509,0.047,-0.047,0,1,2157.7,410.345,-410.345,0,1,8582.0,170.6,-170.6,0,1,4.09,1.39,-1.39,0,1,,,,0,1,2021-06-15 23:02:46,2023-04-12 16:02:02,1.0682303586296586,0.005987190566268332,9.121041282237046,4.585830860324637e-91
2812,2813,3421.01,3421,145023816,145023816.01,1,PC,08h08m22.23s,122.092607,,,-30d05m43.62s,-30.09545,,,-4.788,0.029,-0.029,0.0,1.0,3.761,0.033,-0.033,0.0,1.0,2459963.780552,0.004009,-0.004009,0,1,2.8389301,2.35e-05,-2.35e-05,0,1,2.45,0.6,-0.6,0,1,6210.0,21.3142,-21.3142,0,1,16.9204,,,0,1,1669.46,,,,,1780.0,,,,,13.35,0.007,-0.007,0,1,1787.36,66.045,-66.045,0,1,7132.0,123.0,-123.0,0,1,3.98,,,0,1,2.14,,,0,1,2021-06-16 22:56:31,2024-08-22 10:08:01,2.0616851127634965,0.004352608859118381,1.376995003953188,8.108621047897883e-27
2836,2837,3443.01,3443,392995938,392995938.01,1,PC,14h33m06.82s,218.278396,,,-60d05m36.1s,-60.093362,,,4.435,0.04,-0.04,0.0,1.0,1.355,0.096,-0.096,0.0,1.0,2459358.707236,0.00384,-0.00384,0,1,1.0078907,7.5e-06,-7.5e-06,0,1,2.755,0.366,-0.366,0,1,1790.0,2.82505,-2.82505,0,1,14.2534,1.05338,-1.05338,0,1,11995.5,,,,,2915.0,,,,,11.672,0.011,-0.011,0,1,1025.24,43.0915,-43.0915,0,1,6808.0,152.5,-152.5,0,1,3.51,0.09,-0.09,0,1,3.52,0.2,-0.2,0,1,2021-06-16 23:32:16,2024-08-22 10:08:01,,,,
2882,2883,3485.01,3485,394672497,394672497.01,1,PC,13h26m59.94s,201.749736,,,-73d35m39.29s,-73.594247,,,5.529,0.036,-0.036,0.0,1.0,8.253,0.034,-0.034,0.0,1.0,2459382.714016,0.002524,-0.002524,0,1,11.8413467,6.07e-05,-6.07e-05,0,1,2.865,0.183,-0.183,0,1,770.0,0.83445,-0.83445,0,1,2.20757,0.187216,-0.187216,0,1,18.0311,,,,,574.0,,,,,9.6181,0.006,-0.006,0,1,56.8792,0.08055,-0.08055,0,1,4554.0,122.3,-122.3,0,1,4.52,0.1,-0.1,0,1,0.77,0.06,-0.06,0,1,2021-06-16 23:32:22,2024-08-22 10:08:01,8.216261179818849,0.004005344860935508,1.441208652067348,2.8728977766071804e-113
2939,2940,3535.01,3535,304514922,304514922.01,1,PC,21h02m33.13s,315.638041,,,+41d55m23.5s,41.923195,,,3.343,2.209,-2.209,0.0,1.0,4.074,2.209,-2.209,0.0,1.0,2459820.907597,0.002018,-0.002018,0,1,1.9115371,6.4e-06,-6.4e-06,0,1,2.647,0.215,-0.215,0,1,11380.0,695.509,-695.509,0,1,,,,0,1,,,,,,,,,,,13.4268,0.015,-0.015,0,1,748.729,,,0,1,,,,0,1,,,,0,1,,,,0,1,2021-06-23 15:11:39,2024-08-22 10:08:01,0.9557810861376531,0.0032935976725631806,1.9999737677636964,1.2636376229528235e-72
2966,2967,356.01,356,369336146,369336146.01,1,PC,00h24m16.81s,6.070055,,,-37d13m19.33s,-37.222035,,,19.981,0.036,-0.036,0.0,1.0,8.935,0.026,-0.026,0.0,1.0,2459090.758499,0.003173,-0.003173,0,1,5.7694373,2.72e-05,-2.72e-05,0,1,3.9249606,0.3513599,-0.3513599,0,1,4655.9610935,310.443,-310.443,0,1,11.9640451,0.8375738,-0.8375738,0,1,542.4861018,,,,,1230.8833686,,,,,13.0524,0.006,-0.006,0,1,835.557,18.0745,-18.0745,0,1,5499.0,122.0,-122.0,0,1,4.01,,,0,1,1.5989701,,,0,1,2018-12-20 19:43:30,2024-04-25 10:08:01,1.5508155841644564,0.0014450064816913695,3.720260074061894,0.0002948448707884852
3207,3208,3779.01,3779,742648307,742648307.01,1,PC,06h58m55.97s,104.733224,,,+49d58m07.45s,49.968735,,,2.713,0.845,-0.845,0.0,1.0,3.354,0.95,-0.95,0.0,1.0,2459937.958248,0.002318,-0.002318,0,1,1.6180578,7.7e-06,-7.7e-06,0,1,1.8204969,0.1186301,-0.1186301,0,1,17254.7980935,1290.6636,-1290.6636,0,1,,,,0,1,1373.0847145,,,,,1552.5445917,,,,,13.4167,0.019,-0.019,0,1,366.254,126.379,-126.379,0,1,,,,0,1,,,,0,1,,,,0,1,2021-06-23 15:20:11,2025-04-22 12:03:00,0.8109179683716734,0.019687536370365463,1.9953409137659963,1.0449635700620762e-173
3260,3261,3827.01,3827,8677530,8677530.01,1,FA,09h09m41.12s,137.42133,,,+31d17m32.93s,31.292481,,,,,,,,,,,,,2458897.512084,0.00129,-0.00129,0,1,2.91463,0.0003169,-0.0003169,0,1,2.977,0.199,-0.199,0,1,9960.0,5.00221,-5.00221,0,1,9.96391,,,0,1,588.827,,,,,,,,,,12.033,0.018,-0.018,0,1,335.744,,,0,1,5484.8,,,0,1,,,,0,1,0.99,,,0,1,2021-06-23 15:20:56,2024-08-22 10:08:01,5.209588716477837,0.12706332943595985,0.559474107961935,0.0
3279,3280,3844.01,3844,165885558,165885558.01,1,APC,08h45m27.9s,131.366244,,,+35d37m01.8s,35.617167,,,-24.597,0.047,-0.047,0.0,1.0,-23.164,0.034,-0.034,0.0,1.0,2459606.766668,0.000549,-0.000549,0,1,0.896271,1.3e-06,-1.3e-06,0,1,0.996,0.078,-0.078,0,1,12490.0,8.87913,-8.87913,0,1,13.8677,0.905114,-0.905114,0,1,818.614,,,,,1490.0,,,,,12.9959,0.007,-0.007,0,1,655.503,13.262,-13.262,0,1,5726.0,136.7,-136.7,0,1,4.27,0.08,-0.08,0,1,1.22,0.07,-0.07,0,1,2021-06-23 15:20:58,2024-08-22 10:08:01,0.8984443864952599,0.010432598048638034,0.9975809448776923,3.807615164301568e-33
